,Topic # 00,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09
0,blind,child,blind_learner,nonsighted,student,blind_student,participant,story,sight_programmer,tree
1,design,torino,audio_programming_language,auditory_cue,accessible,barrier,source_code,block,audiohighlight,solution
2,child,learning,skill,auditory,blockbased_programming,computer_science,navigate,sight_programmer,blind_programmer,structure
3,environment,design,novice_blind_learner,computer_program,block,data,audio,blind,area,audiohighlight
4,program,inclusive,solve_problem,debugger,blockly,project,structure,blockbased_programming_language,tree,nonsighted
5,student,computational,program,program,user,tree,story,output,reading,description_language
6,using,story,interact,debug,library,nonsighted,trial,blind_programmer,barrier,aid
7,learning,teacher,motivating,comprehension,computing,information,visual_programming_language,tangible,structure,graphic_interface
8,accessible,learner,thinking,programmer,environment,program,output,game,user,development
9,user,physical,help,cue,blockbased_programming_language,structure,blind_learner,blind_visually_impair,complete_task,include
