,Topic # 00,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09
0,code,child,blind_learner,auditory_cue,blockbased_programming,challenge,blind_student,solution,story,sight_programmer
1,skimming,learning,programming,nonsighted,computing,software_developer,barrier,development,block,code
2,tool,torino,audio_programming_language,program,environment,blind_developer,computer_science,aid,accessible,blind_programmer
3,structure,design,skill,auditory,user,developer,project,blind,blockbased_programming_language,blind
4,participant,inclusive,novice_blind_learner,computer_program,blockly,face,interview,description_language,tangible,area
5,tactile,computational,solve_problem,programmer,design,difficulty,create,graphic_interface,game,reading
6,blind_programmer,physical,interact,research,impact,blind,information,blind_programmer,student,method
7,navigate,ability,motivating,debugger,foster,ides,goal,programming,programming,prioritize
8,programmer,vision,thinking,debug,outreach,interview,dissertation,regard,output,comprehension
9,eclipse,teacher,learner,sound,accessible,need,tree,usage,audio,difference
