,Topic # 00,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09
0,program,student,base,learner,blind,nonsighted,accessibility,child,participant,language
1,blind,blocksbased_programming,tree,research,sight_programmer,language,computer_science,design,blind_developer,game
2,using,user,exploratory,accessible,blind_student,child,introductory,learning,environment,graphic_interface
3,design,feedback,finding,challenge,barrier,environment,course,torino,blind_programmer,description_language
4,auditory_cue,block,developer,visually_impair,computer_science,auditory_cue,java,user,overcome,sound
5,environment,include,approach,software_developer,blind_programmer,design,incorporate,ability,evaluation,development
6,development,identify,challenge,process,create,computer_program,blind,inclusive,blind,accessible
7,programmer,environment,findings,blind,project,memory,important,tree,screen_reader,result
8,research,design,impairment,blind_programmer,information,computer,software,vision,problem,program
9,result,textbased,visually_impair,learning,comprehension,sufficient,simple,technology,skimming,blind
