,Topic # 00,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09
0,program,child,blind_learner,blind_student,blockbased_programming,blind_developer,structjumper,story,sight_programmer,solution
1,auditory,learning,audio_programming_language,barrier,blockly,challenge,skimming,block,blind_programmer,blind
2,auditory_cue,torino,apl,computer_science,computing,developer,participant,accessible,blind,development
3,nonsighted,design,skill,project,environment,face,structure,blockbased_programming_language,area,aid
4,computer,computational,novice_blind_learner,structjumper,library,software_developer,blind_programmer,tangible,reading,description_language
5,research,inclusive,solve_problem,interview,impaired,software,complete,student,prioritize,graphic_interface
6,sound,physical,interact,information,design,difficulty,class,game,method,regard
7,blind,vision,motivating,create,visually,ides,eclipse,output,difference,usage
8,cue,teacher,help,goal,outreach,blind,navigate,audio,suggest,graphical_interface
9,comprehension,nonspecialist,write_program,dissertation,foster,need,nest,novice_programmer,screen_reader,problem
